id,name,country,region,latitude,longitude,elevation,timezone,distance
KPRB0,Paso Robles / Estrella,US,CA,35.6729,-120.6271,256,America/Los_Angeles,1138464.6
KPRC0,Prescott / Tutt,US,AZ,34.6544,-112.4196,1537,America/Phoenix,1392671.8
KPRG0,Paris / Wetzel,US,IL,39.7002,-87.6696,199,America/Chicago,1974854.0
KPRN0,Greenville,US,AL,31.8457,-86.6107,138,America/Chicago,1522211.1
KPRS0,Presidio,US,TX,29.6342,-104.3615,896,America/Chicago,1830807.6
KPRX0,Paris / Sylvan,US,TX,33.6366,-95.4507,167,America/Chicago,1784972.3
KPSC0,Pasco,US,WA,46.2647,-119.119,125,America/Los_Angeles,1831765.9
KPSK0,Dublin / Highland Park,US,VA,37.1373,-80.6785,642,America/New_York,1537613.4
KPSM0,Portsmouth / South Newington,US,NH,43.0779,-70.8233,31,America/New_York,1970785.6
KPSP0,Palm Springs,US,CA,33.8297,-116.5067,145,America/Los_Angeles,1081310.6
KPSX0,Palacios / Camp Hulen,US,TX,28.7275,-96.2509,4,America/Chicago,1542272.0
KPTB0,Petersburg / Jack,US,VA,37.1838,-77.5074,59,America/New_York,1723161.8
KPTD0,Potsdam,US,NY,44.6767,-74.9484,144,America/New_York,1664313.4
KPTK0,Pontiac / Waterford,US,MI,42.6656,-83.4205,299,America/Detroit,1983863.5
KPTN0,Patterson / Avalon,US,LA,29.7095,-91.339,3,America/Chicago,1012726.0
KPTS0,Pittsburg / Lone Oak,US,KS,37.4495,-94.7311,290,America/Chicago,1430927.3
