source,target,weight
196,2547,16.44214931511212
196,2607,25.16221425426342
197,863,25.472545763441673
197,2593,32.74524714014197
197,2637,33.006294568272125
198,582,34.43426672863388
198,583,54.442164167353724
198,825,49.67641677004153
198,1457,39.216503234031556
199,728,0.8132282115485956
199,2106,20.378715461502342
200,800,19.5068857812312
200,842,18.830834445145676
201,797,49.57786499228177
201,802,30.750688812325674
202,203,14.384755451062235
202,2652,1.3475668288875393
203,203,0.0
203,2652,14.81883597211774
203,2708,26.585918393323904
204,745,51.65909005991268
204,850,23.220282435828253
205,206,3.6728544327396424
205,2667,81.88786359058075
206,2667,80.25985326376086
207,834,13.365495680190996
207,2651,21.205177658728502
207,2689,4.538716043825881
208,834,11.512863682274002
208,2549,21.169860188501318
208,2606,24.778338368079478
208,2705,12.477918779074265
209,209,0.0
209,807,59.55754791508735
209,827,0.0
210,756,0.0
210,819,29.916468535294413
